# Deutsches Sprachdatei für Wippien
# Author: torsten.wagner@vnc-world.com
# Version: 1
Keine Fehler.  ## No error.
Falsche Dateigrösse nach dem Download.  ## Invalid file size after download.
MD5 Prüfsumme nach dem Download ist falsch.  ## Invalid MD5 checksum after download.
Warnung  ## Warning
nicht aktive Verbindungen  ## Offline
Verbindung hergestellt  ## Online
Abwesend  ## Away
Gesprächsbereit  ## Free for chat
Bitte nicht stören.  ## Do not disturb
Länger abwesend  ## Extended away
Nicht sichtbar  ## Invisible
Anfrage für eine Bestellung  ## Asking for subscription
nicht übernommene Kontakte  ## Contact not subscribed
Verbindungsabbruch zum Server  ## Disconnected from server
Verbindung zum Server  ## Connecting to server
Neuen Benutzer registriren  ## Registering new user
Sichere Verbindung wird aufgebaut.  ## Initializing secure connection
Authentifizierungsdaten werden gesendet.  ## Sending authentication data
Verbindungsaufbau zum Server  ## Connected to server
Datenanforderung vom Server  ## Receiving data from server
Daten zum Server senden  ## Sending data to server
Befehl am Server ausführen  ## Executing command on server
Verbindung zum Server unterbrechen  ## Disconnecting from the server
Authorisierung anfordern  ## Requested authorization
Der Wippien-Netzwerkadapter wird konfiguriert...  ## Configuring Wippien network adapter...
Adapter \"%s\" mit der Adresse %s hat einen Konflikt mit Wippiens Adapter %s. Es ist möglich, dass Wippien nicht in der Lage ist Netzwerkdatenpakete zu senden und zu empfangen. Deinstalliere oder deaktiviere den Adapter.  ## Adapter \"%s\" with address %s conflicts with Wippien's %s. It is possible that Wippien will not be able to send and receive network packets. Please uninstall or disable this adapter.
Der Netzwerkadapter steht nicht zur Verfügung!  ## Network adapter disabled!
Netzwerkadapter verfügbar  ## Network adapter opened
Der Wippien Netzwerkadapter ist nciht vorhanden. Wollen Sie nur den IM nutzen?  ## Wippien network adapter not available. Proceed with IM only?
Wippien muss den Netzwerkadapter mit externen Tools konfigurieren und benutzt administrative Benutzerrechte. Starten Sie bitte Wippien unter Administratorrechten bzw. sorgen Sie für ausreichende Zugriffsrechte.  ## Wippien must set up adapter IP address using external tool - and requires administrative privileges. Please run Wippien at least once as administrator in order to obtain enough permissions.
Administrationsrechte werden benötigt  ## Admin privilege required!
Verbindung unterbrochen  ## Disconnected
Verbindung hergestellt  ## Connected
Nachricht konnte nicht versandt werden.  ## Could not deliver message.
Passwort konnte nicht geändert werden.  ## Failed to change password
Die Verbindung wird beenedet wenn nicht mehr benötigt.  ## Disconnected due to inactivity rule
%s (%d)\r\nMTU: %d\r\nTotal  in: %s\r\nTotal out: %s  ## %s (%d)\r\nMTU: %d\r\nTotal  in: %s\r\nTotal out: %s
VPN-Verbindung zurzeit nicht hergestellt.  ## << VPN not established yet >>
Verbindungswiederherstellung in %d Sekunden.  ## Reconnect in %d seconds.
Sekunden  ## seconds
Kein Netzwerk  ## No network
Wippien verlassen  ## Exit Wippien
Beenden  ## E&xit
Einstellungen anzeigen  ## Open settings
Einstellungen  ## &Settings
Hilfe anzeigen  ## Show AboutBox
Hilfe  ## &About
Def. deinen Status (Abwesend, nicht verfügbar, ...)  ## Set your status (,Invisible...)
Auch fremde Kontaktdaten hinzufügen  ## Add contacts and alien accounts
Ton aus  ## Mute sound
Öffne Chatraum  ## Open chat room
deine Freunde berechtigen  ## Authorize your friends
Leerlauf  ## Idle
Wippien wirklich verlassen?  ## Really exit Wippien?
Sind Sie sicher?  ## Are you sure?
Ihr Passwort wurde nun geändert.  ## Your password is now changed.
Passwort geändert.  ## Password changed
Kontopasswort geändert  ## Change account password
Bitte neues Passwort eingeben.  ## Please enter new password
Identität  ## Identity
ID Karte  ## ID Card
Private Daten  ## Home Address
Geschäftsdaten  ## Work Address
Sind Sie sicher das Sie die History löschen wollen?  ## Are you sure you want to delete the history?
History löschen?  ## Delete history?
senden  ## Send
Datein senden  ## Send file
Details  ## Details
Verbindungsinformationen  ## Contact information
Löschen  ## Clear
History löschen  ## Clear history
Ton aus  ## Mute
Fett  ## Bold
Kursiv  ## Italic
Unterstrichen  ## Underline
Weblink eingeben  ## Insert hyperlink
Fontgrösse reduzieren  ## Decrease font size
Fontgrösse zurücksetzen  ## Reset font size
Fontgrösse erweitern  ## Increase font size
Vordergrundfarbe einstellen  ## Set Foreground color
Hintergrundfarbe einstellen  ## Set Background color
Stimmungsicons  ## Emoticons
Neue Stimmungsicon können geladen und installiert werden. Ausführen?  ## New emoticons will be downloaded and installed. Proceed?
Neue Stimmungsicons  ## New emoticons
Sie können neue Stimmungsicons auswählen. Bitte Schaltfläche betätigen.  ## You can now click again on emoticon button to see new installed emoticons.
Fertig!  ## Done!
Verbindung  ## Contact
Verbindungsaufbau  ## Connecting
Anfrage  ## Requesting
Dateidownload  ## Downloading
Konfigurationsdatei  ## Configuration file
aktive Verbindungen  ## General
abwesend wenn nicht aktiv verwendet  ## Away due to inactivity.
Für lange Zeit abwesend.  ## Away for a loooong time.
erlauben  ## allow
verbieten  ## deny
nicht definiert  ## not specified
Ende  ## &Finish
weiter >  ## &Next >
Identität  ## Identity
Wählen sie bitte Ihre Einwahleinstellungen aus.  ## Please choose your logon information.
Dies wird in der Liste ihres Freundes angezeigt.  ## This is shown on your friend's list.
JID sollte den Servernamen enthalten und wie folgt aussehen user@server.com  ## JID should contain server name, formatted like user@server.com
Nicht korrekte Einwahldaten.  ## Invalid logon details
Sie müssen Ihre JID eingeben.  ## You must enter your JID.
Sie müssen Ihr Passwort eingeben.  ## You must enter your password.
Jabberfehler  ## Jabber error
Icon  ## Icon
Bitte wählen Sie ihr Icon aus  ## Please choose your icon.
Diese sind in Ihren Kontakten ersichtlich.  ## This is usually visible to your contacts.
Netzwerk  ## Network
Bitte wählen sie ihre IP und Subnetmaske  ## Please choose your IP address and netmask.
Von Wippien wird die definierte Netzwerkadressbandbreite verwendet.  ## This defines network range to be used by wippien.
Netzwork  ## Network
Vermittler  ## Mediator
Wählen Sie Ihren Vermittler aus.  ## Please choose who will be your mediator.
Dies sind vermittelte Personen die auf P2P Verbindungen aufbauen.  ## This defines people that mediate P2P connections.
Letzte Überprüfung  ## Last check
Port  ## Port
Computername  ## Hostname
Verb. besteht  ## Permanent
Temporär  ## Temporary
Geben Sie alle Konten hier an.  ## Enter all your accounts here.
Sie können diverse Jabberkonten an ihrem Jabberserver hinzufügen (typischerweise ICQ, MSN, etc..)  ## You can add any of accounts supported by your Jabber server (typically ICQ, MSN, etc..)
Sind Sie sicher das Sie das Konto löschen wollen '%s'?  ## Are you sure you want to delete account '%s'?
Registriertes Konto löschen?  ## Delete registered account?
Benutzerkonten  ## Accounts
Zeige alle Gatewaya an  ## Show only gateways
Zeige alle Dienste an  ## Show all services
Verbindungen  ## Contacts
hinzufügen/löschen  ## Add/Remove
Neue Kontakte finden  ## Find new contacts.
Neuen Jabber, ICQ, MSN ... Kontakt hinzufügen  ## You can add new Jabber, ICQ, MSN... contacts
Alle Dateien (*.*)\0*\0TXT Dateien (*.txt)\0*.txt\0\0  ## All Files (*.*)\0*\0TXT files (*.txt)\0*.txt\0\0
Alle Bilddateien (*.bmp;*.jpg;*.jpeg;*.png;*.gif)\0*.bmp;*.jpg;*.jpeg;*.gif;*.png\0Windows bitmaps (*.bmp)\0*.bmp\0Jpeg Dateien (*.jpg,*.jpeg)\0*.jpeg;*.jpg\0GIF Dateien (*.gif)\0*.gif\0PNG Dateien (*.png)\0*.png\0Alle Dateien (*.*)\0*\0\0  ## All image files (*.bmp;*.jpg;*.jpeg;*.png;*.gif)\0*.bmp;*.jpg;*.jpeg;*.gif;*.png\0Windows bitmaps (*.bmp)\0*.bmp\0Jpeg files (*.jpg,*.jpeg)\0*.jpeg;*.jpg\0GIF files (*.gif)\0*.gif\0PNG files (*.png)\0*.png\0All Files (*.*)\0*\0\0
System  ## System
Aufzeichnung  ## Logging
Aufzeichnungen und Fehleraufzeichnung konfigurieren  ## Setup log files and debug info.
Nachfolgend der spezifizierte Pfad  ## Specify paths below
Mitteilungen  ## Messages
Einstellungen für den Chat  ## Chat window settings.
Für alle offenen Chatfenster  ## For all open chat windows.
Allgemeine Informationen  ## General info
Allgemeine Informationen über  ## General information about
Personeninformationen  ## Personal information
Private Eigenschaften für  ## Home details for
Geschäftsinformation  ## Business information
Geschäftseinstellungen für  ## Work details for
alle anderen  ## all other
Adresse vom Mediator bestimmt  ## address given by mediator
Design  ## Appearance
Skins  ## Skins
Wählen Sie einen der nachfolgenden Skins aus.  ## Choose skin from below list.
Was wird Wippien darstellen?  ## What will Wippien wear?
.. . keine . .   ## .. none ..
Automatisch abwesend  ## Auto Away
Einstellungen für die Abwesenheitsmeldungen  ## Auto away settings.
Wie Wippien beendet wird, wenn das System inaktiv ist.  ## Determines how will Wippien behave when system is inactive.
System  ## System
Systemmitteilung  ## Basic system messages.
Definiere die Wippien Anwendungsdarstellung  ## Define Wippien application's behavior.
Sprachchat  ## Voice Chat
Bitte geben Sie ihre Spachchatkonfiguration ein.  ## Please setup your voice chat devices.
Von nachfolgender Liste auswählen.  ## Choose from list below.
<Systemvorgaben>  ## <system default>
Einstellungen für die Kontakte  ## Contacts basic settings.
Updates  ## Updates
Updatedefinition  ## Update definitions.
Definieren Sie wie und wann Wippien sich selbst updaten wird.  ## Define when and how will Wippien update itself.
MTU  ## MTU
Definieren Sie die max. Transportgrösse.  ## Please determine maximum transfer unit.
Wenn einige Mitglieder nicht mit zu grossen Paketen antworten...  ## If some peer doesn't respond to large packets...
Audio  ## Sounds
Audioeinstellungen für verschiedene Ereignisse  ## Setup sounds to be played on various events.
Wähle interne Mediadatei aus, oder suche nach einer anderen WAV Datei.  ## Choose internal ones, or browse for WAV files.
Verbindungen online  ## Contact online
Verbindungen offline  ## Contact offline
eingehende Nachricht  ## Message in
ausgehende Nachricht  ## Message out
Fehler  ## Error
WAV Dateien (*.wav)\0*.wav\0Alle Dateien (*.*)\0*\0\0  ## WAV files (*.wav)\0*.wav\0All Files (*.*)\0*\0\0
verstecken  ## Hide
Kontakt verstecken  ## Hide contacts.
Sie können Kontakte auf ihrer Seite ausblenden.  ## You can hide some contacts from your sight.
Erscheinungsbild  ## Appearance
Einstellungen für das Erscheinungsbild  ## Appearance settings.
Definieren Sie was Ihnen in Wippien angezeigt werden soll.  ## Define how will Wippien's GUI appear to you.
sortieren  ## Sort
Verbindungen sortieren  ## Sorts contacts.
Wählen sie einen der aufgeführten Optionen aus.  ## Pick one of sort options.
Chatraum  ## ChatRoom
Einen Chatraum erstellen oder erforschen. (STILL IN BETA!!)   ## Browse or create chat rooms. (STILL IN BETA!!)
Definiere oder suche nach einem Chatraum den Sie erstellen oder in den sie wechseln wollen.  ## Specify or browse for a room to join or create new one.
alle Gateways  ## - All gateways -
Dienstschnittstelle  ## Service gateway
Raumname  ## Room name
Firewall  ## Firewall
Firewallregeln einstellen  ## Set up firewall rules.
Sie können die Port definieren über die sie erreicht werden wollen.  ## You can set up which ports can be accessed by your contacts.
Gesamter ICMP Datenverkehr  ## * All ICMP traffic
Diese Ports sperren  ## But block these ports
Diese Ports erlauben  ## But allow these ports
Update von Wippien  ## Wippien update
Neue Version von Wippien ist verfügbar. Download?  ## New version of Wippien is available. Download?
Hier klicken um  festzustellen was neu ist.  ## Click here to see what's new.
Ihre Wippienversion ist auf dem aktuellsten Stand.  ## Your version of Wippien is up-to-date.
Fehler beim Verbindungsaufbau zum Remotecomputer.  ## Error connecting to remote server.
Download erfolgreich. Nun aktualisieren?  ## Download successful. Replace now?
Wippienupdate fehlgeschlagen!  ## Wippien update error!
Neue Wippienversion lokal gefunden. Aktualisieren?  ## New version of Wippien found localy. Replace?
Neue Version  ## New version
Status geändert:  ## Status changed: 
Tag  ## day
Tage  ## days
Stunde  ## hour
Stunden  ## hours
Minute  ## minute
Minuten  ## minutes
Zuletzt gesehen: nie  ## Last seen: never
ist zurzeit offline  ## is currently offline
ist jetzt offline  ## is now offline
ist jetzt online  ## is now online
wird verhindert  ## is blocked
ist offline  ## is offline
Entsperren  ## Unblock
Sperren  ## Block
Sind Sie sicher das Sie die Gruppe in %s verlassen wollen?  ## Are you sure you want to remove group %s
Gruppe verlassen?  ## Remove group?
Sind Sie sicher das sie den Kontakt in %s abbrechen wollen?  ## Are you sure you want to remove contact %s
Kontakt abbrechen  ## Remove contact?
Adapterfehler  ## Adapter error
Gruppe umbenennen  ## Rename group
Neuen Gruppennamen eingeben  ## Enter new group name
Download mehr Skins von der Wippien website  ## Download more skins from Wippien website
Klicken Sie auf das Skin um es herunterzuladen und zu installieren.  ## Click on the skin to download and install it.
Erstelle ein Jabberkonto  ## I need new Jabber account
Verwende existierendes Jabberkonto  ## I have existing Jabber account
Testkonto  ## &Test Account
Suchen  ## &Search
Jabber ID (JID) hier eingeben. Wippien nutzt das Jabbernetzwerk - damit zeigen Sie das sie online sind, andere sehen können und mehr...  ## You should enter your jabber ID (JID) here. Wippien uses Jabber network for presence - to notify your contacts that you're online, to view other contacts etc.
Wenn Sie keine JID haben sollten sich für eine registrieren lassen. Sie können dies an einem beliebigen Jabberserver tun. Es gibt sehr viele öffentliche Server. Sie können eine akt. Liste der verfügbaren Server durch klicken dieser Taste einsehen.  ## If you don't have JID, you should register for new one. You can do it on any jabber server you wish. There are many public servers available. You can find list of currently open servers by clicking on this button.
JID  ## JID
Passwort  ## Password
Server  ## Server
Port  ## Port
Bitte klicken Sie auf `Testkonto` um fortzufahren  ## Please click on 'Test Account' to proceed.
Verwende SSL über Port 443 (für GTalk)  ## Use SSL wrapper on port 443 (for GTalk)
O&K  ## O&K
Abbrechen  ## &Cancel
Bitte Passphrase eingeben  ## Please enter key passphrase
Neu hinzufügen  ## Add &New
Zeige den Hinweis an wenn der Ethernetadapter nicht erreicbar ist.  ## Show notification if ethernet adapter is unavailable.
Beim Beenden Verbindung abbrechen.  ## Disconnect adapter on exit
UDP Port für alle ein- und ausgehenden Pakete verwenden. (0 für autom. Auswahl)  ## UDP port fort for outoing and incoming packets (0 for auto select)
IP Adresse des Wippien Netzwerkadapters  ## IP address for Wippien network adapter
Ignorieren Sie die von ausserhalb des Programms vergebene IP  ## Ignore. IP will be set outside of this program.
Dies erhalten Sie von ihrer ISP-Datenbank, via URL  ## Obtained from IP provider database, on URL
Folgende Adresse verw.  ## Use following static address
IP Adresse  ## IP address
Subnet  ## Netmask
Status  ## Status
Website  ## URL
Beschreibung  ## Description
Neues Konto hinzufügen  ## Add new account
Konto löschen  ## Remove account
Registrieren!  ## Register!
Ihre derzeitige Instant Messaging Verbindungen  ## Your current Instant messaging connections
Benutzername  ## Username
Öffne neues Konto  ## Open new account
Authorisierung erforderlich  ## Authorization request
Ja  ## &Yes
Nein  ## &No
Einstellungen  ## &Details
Übernehme alles  ## &Apply to all
Benutzer sperren  ## &Block user(s)
Erlauben Sie  ## Do you allow
zu seiner Kontakliste hinzufügen?  ## to add you to his contact list?
mehrere Anfragen bitte warten...  ## more requests waiting...
Gruppe hinzuf.  ## Add Group
Gruppe löschen  ## Remove Group
Kontakt hinzufügen  ## Add Contact
Füge die Verbindung zur Gruppe hinzu  ## Put contact to the group
Kontakt zu JID  ## Contact JID
Kontaktart  ## Contact Type
Sichtbarer Name  ## Visible Name
Verbindung umbenennen  ## Rename contact
Neuen Verbindungsname eingeben  ## Enter new contact name
Einstellungen  ## Settings
< zurück  ## < &Back
Jabberkommunikation aufzeichnen  ## Log Jabber communication
Socketkommunikation aufzeichnen  ## Log socket communication
Aufrufe der Grundfunktion aufzeichnen (kann sehr schnell sehr umgangreich werden!)  ## Log raw function calls (may grow quickly!)
jederzeit alle Aufzeichnungen löschen  ## Delete raw log on each
Megabytes  ## megabytes
Zeichne alle Informationen beim P2P Aufbau auf.  ## Log VPN communication on P2P startup
Der nachfolgende Mediator / Vermittler wird verwendet.  ## Following mediators can be used
Neuer Vermittlungsserver darf hinzugefügt werden  ## Allow new mediators to be added
Die verschiedensten Einstellungen werden im Chatfenster angezeigt.  ## Various settings regarding chat window
Anzeige der Zeit  ## Timestamp messages
Zeigen Sie alle Nachrichten an.  ## Show message history
Nickname  ## Nickname
Vorname  ## First name
Nachname  ## Last name
E-Mail  ## Email
Notizen  ## Notes
Strasse  ## Address
Zusatzbez.  ## Address Ext.
Ort  ## City
Staat  ## State
Postleitzahl  ## ZIP
Nation  ## Country
Geburtstag  ## Birthday
Telefon  ## Voice Tel.
FAX.  ## Fax
Titel  ## Title
Unternehmen  ## Company name
Abteilung  ## Department
Der Schnittstelle alle direkten Verbindungen erlauben.  ## Allowed interfaces for direct connection
Alles erlauben  ## Allow All
Klicken Sie in den ersten Abschnitt um den Wert zu ändern.  ## Click on first column to change values
Wenn Ihre Auswahl nicht definierte Werte enthält, wird die allgemeingültige Einstellung übernommen.  ## If you choose 'not specified' value, then same value is used as in 'all other' setting.
Es wurden folgende Skins gefunden  ## Following skin files are found
Übernehmen  ## Apply
Für mehr Skins, einfach die neuen Skins in das Unterverzeichnis hineinkopieren. Fügen Sie 100x100 PNG Dateien für die Vorschau ein.  ## To add more skins, you can also paste them to 'Skin' subfolder. Add corresponding 100x100 PNG file for preview.
Mehr Skins  ## &More skins...
Zurücksetzen wenn die Verbindung erneut endeckt wird.  ## Set back when activity is detected again.
Warte  ## Wait
Minuten bis zur Abmeldung (0=deaktiviert)  ## minutes before going to away mode (0 = disable)
Minuten bis zur längeren Abwesenheit (0=deaktiviert)  ## minutes before going to extended away mode (0 = disable)
Minuten bis Verbindungsabbruch (0=deaktiviert)  ## minutes before disconnecting (0 = disable)
Abwesenheitsmitteilung (selbst definieren)  ## Auto-Away message
längerfr. Abwesenheitsmitteilung (selbst definieren)  ## Extended-Away message
Wippien in der Taskleiste anzeigen  ## Show Wippien in taskbar
Desktop wieder herstellen wenn Wippien am Rand ausgerichtet wird.  ## Rearrange desktop when Wippien window is aligned to border.
Am Desktoprand ausrichten  ## Snap to desktop border
Wippien deaktiv, nicht anzeigen für  ## Auto hide if Wippien is inactive for
Immer oben  ## Always on top
Das Programmende über die Anwendung aus durchführen lassen.  ## Confirm exit from application
Im Ruhezustand die Verbindung abbrechen, ansonsten Verbindung beibehalten  ## Disconnect on computer Sleep/Hibernate, Connect on Resume
Passwort eingeben:  ## Password protect
nur für diese Einstellungen  ## Settings only
Alle  ## Everything
Einstellungen (Erst nach dem Neustart von Wippien wirksam.)  ## Settings folder (changing below value requires wippien restart)
dauerhafte Kontaktliste  ## Contact list persistance
Alle lokalen Kontakte nach dem Programmstart löschen  ## Delete all local contacts on startup
Alle lokalen Kontakte nach dem Verbindungsaufbau löschen  ## Delete all local contacts on connect
Bestätigte und authorisierte Kontakte  ## Contacts subscription authorization
Noch nicht authorisiert  ## Never authorize
Frag mich  ## Ask me
Bereits authorisiert  ## Always authorize
VPN beim Netzwerkverkehr automatisch starten  ## Automatically establish VPN on network traffic
VPN automatisch beim Start aufbauen  ## Automatically establish VPN on startup
In Bearbeitung  ## Progress
möglicher Sprachchat  ## Enable voice chat
Abspielgerät  ## Playback device
Aufnahmegerät  ## Recording device
Beim Start von Wippien nach Updates suchen  ## Check for updates when Wippien starts
Beim Verbindungsaufbau nach Updates suchen  ## Check for updates on Connect
Immer nach Updates suchen  ## Check for updates each
Im Hintergrund nach Updates suchen und neu starten  ## Update and restart application silently
Zeigen Sie die Systemmitteilungen, die vom Updater indiziert werden.  ## Show system messages received from updater
Jetzt überprüfen  ## &Check now
MTU Einstellungen bestimmen die max. UDP Paketgrösse die an die Mitglieder versendet werden können. Wenn ihre Netzwerkverbindungen geringere MTU Werte als Wippien, ist es möglich dass Sie die grösseren Datenpakete nicht empfangen kann.  ## MTU setting defines maximum UDP packet that can be sent to peers. If your network connection has lower MTU value than wippien, it is possible that peer never receives large packets.
feste MTU verwenden  ## Use fixed MTU
autom. MTU verwenden  ## Auto-detect MTU
(wird ausgeführt wenn wieder verbunden)  ## (will become effective as peers reconnect)
Toneffekt (verw. Standartwert, wenn das Feld leer ist)  ## Sound (leave empty for default sound)
Spielen  ## &Play
Programmausführung  ## Program events
Neuen Kontakt verst.  ## Hide new contact
Kontakt wieder anzeigen  ## Unhide contact
